Id,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Rank
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,1263
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,2289
3,0,0,0,0,0,0,0,0,0,0,0,0,0,2276,2276
4,0,0,0,0,0,0,0,0,0,0,0,0,670,2390,2390
5,0,0,0,2013,2002,2343,2415,2455,3140,3329,0,3086,0,2608,3329
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1845,1845
7,0,0,0,0,0,0,0,0,0,0,0,821,0,384,821
8,0,0,0,0,0,0,0,0,0,0,0,0,0,912,912
9,0,0,0,0,0,0,0,0,0,1637,0,2023,1281,2620,2620
10,0,0,0,0,0,0,0,0,0,0,0,0,0,1934,1934
11,0,0,0,0,0,0,0,0,0,0,0,3260,2372,2055,3260
12,0,0,0,0,0,0,0,0,0,0,0,0,0,954,954
13,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
14,0,0,0,0,0,0,0,0,0,0,0,0,0,934,934
15,0,0,0,0,0,2032,0,0,2706,2523,0,0,2366,2332,2706
16,0,0,0,0,0,0,1654,1021,1301,1196,0,0,1026,1014,1654
17,0,0,0,0,0,0,0,0,0,0,0,0,0,886,886
18,0,0,0,0,0,0,0,0,0,0,0,0,854,3007,3007
19,0,0,0,0,0,0,0,0,0,0,0,0,0,2530,2530
20,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55
21,0,0,0,0,0,0,0,0,0,0,0,0,0,993,993
22,0,0,0,0,0,0,0,0,1598,0,0,0,0,1150,1598
23,0,0,0,0,0,0,0,0,0,0,0,0,933,1478,1478
24,0,0,0,0,0,0,0,0,0,0,0,0,0,552,552
25,0,0,0,0,0,0,0,0,0,0,0,0,0,790,790
26,0,0,0,0,0,0,0,0,0,0,0,0,0,1670,1670
27,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,1302
28,0,0,0,0,0,0,0,0,0,0,0,0,0,2478,2478
29,0,0,0,0,0,0,0,0,0,0,0,0,0,2429,2429
30,0,0,0,0,0,0,0,0,0,0,0,0,0,2647,2647
31,0,0,0,0,0,0,0,0,0,0,0,0,372,313,372
32,0,0,0,0,0,0,0,0,1685,0,0,0,0,2996,2996
33,0,0,0,0,0,0,0,0,0,0,0,0,0,949,949
34,0,0,0,0,0,0,0,0,0,0,0,0,0,2763,2763
35,0,0,0,0,0,0,0,0,0,0,0,0,0,326,326
36,0,0,0,0,0,0,0,0,0,0,0,0,0,2537,2537
37,0,0,0,0,0,0,0,0,0,0,0,0,1888,1062,1888
38,0,0,0,0,0,0,0,0,0,0,0,0,0,375,375
39,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,1005
40,0,0,0,0,0,0,0,0,0,0,779,0,0,266,779
41,0,0,0,0,0,0,0,0,0,0,0,2394,0,1605,2394
42,0,0,0,0,0,0,0,0,0,0,0,0,0,182,182
43,0,0,0,0,0,0,0,0,0,0,0,0,0,782,782
44,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,1399
45,0,0,0,0,0,0,0,0,0,0,0,2838,1767,1626,2838
